SiteID, 17152.0,Site Timezone,-6.0,Data Timezone,-6.0
Longitude, -95.205444
Latitude, 35.03545
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2011,1,1,0,0,9.905,8.518
2011,1,1,0,5,11.554,9.085
2011,1,1,0,10,13.072000000000001,9.683
2011,1,1,0,15,13.093,9.692
2011,1,1,0,20,12.564,9.43
2011,1,1,0,25,11.686,9.125
2011,1,1,0,30,11.123000000000001,8.929
2011,1,1,0,35,10.603,8.749
2011,1,1,0,40,10.491,8.71
2011,1,1,0,45,10.947000000000001,8.865
2011,1,1,0,50,11.298,8.984
2011,1,1,0,55,11.797,9.155
2011,1,1,1,0,12.315,9.332
2011,1,1,1,5,12.222,9.299
2011,1,1,1,10,11.411,9.018
2011,1,1,1,15,10.493,8.701
2011,1,1,1,20,9.974,8.521
2011,1,1,1,25,10.048,8.545
2011,1,1,1,30,10.592,8.731
2011,1,1,1,35,11.623000000000001,9.085
2011,1,1,1,40,12.521,9.393
2011,1,1,1,45,12.487,9.381
2011,1,1,1,50,11.824,9.152000000000001
2011,1,1,1,55,11.232000000000001,8.948
2011,1,1,2,0,10.729000000000001,8.774000000000001
2011,1,1,2,5,10.368,8.649000000000001
2011,1,1,2,10,9.722,8.426
2011,1,1,2,15,8.103,7.8740000000000006
2011,1,1,2,20,6.455,7.312
2011,1,1,2,25,6.016,7.123
2011,1,1,2,30,6.582,7.352
2011,1,1,2,35,8.195,7.898000000000001
2011,1,1,2,40,9.991,8.508000000000001
2011,1,1,2,45,10.972,8.844
2011,1,1,2,50,10.141,8.557
2011,1,1,2,55,9.388,8.298
2011,1,1,3,0,8.753,8.081
2011,1,1,3,5,7.83,7.767
2011,1,1,3,10,7.256,7.571
2011,1,1,3,15,7.204,7.553
2011,1,1,3,20,7.295,7.5840000000000005
2011,1,1,3,25,7.089,7.514
2011,1,1,3,30,7.081,7.51
2011,1,1,3,35,7.215,7.556
2011,1,1,3,40,7.009,7.486
2011,1,1,3,45,6.83,7.425
2011,1,1,3,50,6.732,7.391
2011,1,1,3,55,6.761,7.401
2011,1,1,4,0,6.574,7.336
2011,1,1,4,5,6.45,7.2940000000000005
2011,1,1,4,10,6.394,7.269
2011,1,1,4,15,6.3020000000000005,7.23
2011,1,1,4,20,6.319,7.236
2011,1,1,4,25,6.149,7.162
2011,1,1,4,30,6.136,7.156000000000001
2011,1,1,4,35,5.909,7.059
2011,1,1,4,40,5.632,6.94
2011,1,1,4,45,5.455,6.863
2011,1,1,4,50,5.199,6.7540000000000004
2011,1,1,4,55,5.093,6.708
2011,1,1,5,0,5.08,6.702
2011,1,1,5,5,4.988,6.662
2011,1,1,5,10,4.71,6.543
2011,1,1,5,15,4.339,6.384
2011,1,1,5,20,4.067,6.268
2011,1,1,5,25,3.989,6.232
2011,1,1,5,30,3.853,6.155
2011,1,1,5,35,3.7560000000000002,6.101
2011,1,1,5,40,3.74,6.091
2011,1,1,5,45,3.81,6.131
2011,1,1,5,50,3.935,6.2010000000000005
2011,1,1,5,55,4.1690000000000005,6.311
2011,1,1,6,0,4.412,6.415
2011,1,1,6,5,4.4350000000000005,6.424
2011,1,1,6,10,4.2780000000000005,6.357
2011,1,1,6,15,4.293,6.363
2011,1,1,6,20,4.394,6.406
2011,1,1,6,25,4.431,6.421
2011,1,1,6,30,4.539,6.4670000000000005
2011,1,1,6,35,4.811,6.583
2011,1,1,6,40,5.1770000000000005,6.738
2011,1,1,6,45,5.508,6.8790000000000004
2011,1,1,6,50,5.731,6.973
2011,1,1,6,55,5.87,7.031000000000001
2011,1,1,7,0,5.908,7.047
2011,1,1,7,5,5.761,6.9830000000000005
2011,1,1,7,10,5.893,7.037
2011,1,1,7,15,6.048,7.102
2011,1,1,7,20,6.353,7.23
2011,1,1,7,25,6.973,7.446
2011,1,1,7,30,7.12,7.495
2011,1,1,7,35,7.33,7.565
2011,1,1,7,40,7.712,7.694
2011,1,1,7,45,7.795,7.721
2011,1,1,7,50,7.4910000000000005,7.617
2011,1,1,7,55,7.295,7.55
2011,1,1,8,0,6.864,7.404
2011,1,1,8,5,6.883,7.41
2011,1,1,8,10,6.758,7.367
2011,1,1,8,15,6.76,7.367
2011,1,1,8,20,6.978,7.44
2011,1,1,8,25,6.817,7.385
2011,1,1,8,30,6.428,7.251
2011,1,1,8,35,6.256,7.178
2011,1,1,8,40,6.063,7.095
2011,1,1,8,45,5.699,6.94
2011,1,1,8,50,5.204,6.729
2011,1,1,8,55,4.782,6.549
2011,1,1,9,0,4.768,6.543
2011,1,1,9,5,4.9190000000000005,6.607
2011,1,1,9,10,4.8260000000000005,6.567
2011,1,1,9,15,4.502,6.43
2011,1,1,9,20,4.186,6.296
2011,1,1,9,25,3.9370000000000003,6.18
2011,1,1,9,30,3.801,6.104
2011,1,1,9,35,3.746,6.073
2011,1,1,9,40,3.69,6.043
2011,1,1,9,45,3.657,6.024
2011,1,1,9,50,3.6510000000000002,6.021
2011,1,1,9,55,3.6670000000000003,6.03
2011,1,1,10,0,3.726,6.064
2011,1,1,10,5,3.8120000000000003,6.113
2011,1,1,10,10,3.9370000000000003,6.183
2011,1,1,10,15,4.027,6.232
2011,1,1,10,20,4.025,6.232
2011,1,1,10,25,3.972,6.204
2011,1,1,10,30,3.879,6.152
2011,1,1,10,35,3.753,6.082
2011,1,1,10,40,3.622,6.009
2011,1,1,10,45,3.545,5.966
2011,1,1,10,50,3.539,5.963
2011,1,1,10,55,3.5820000000000003,5.987
2011,1,1,11,0,3.619,6.009
2011,1,1,11,5,3.537,5.963
2011,1,1,11,10,3.384,5.878
2011,1,1,11,15,3.214,5.783
2011,1,1,11,20,3.023,5.676
2011,1,1,11,25,2.8810000000000002,5.597
2011,1,1,11,30,2.82,5.563
2011,1,1,11,35,2.8080000000000003,5.557
2011,1,1,11,40,2.758,5.53
2011,1,1,11,45,2.654,5.472
2011,1,1,11,50,2.637,5.463
2011,1,1,11,55,2.701,5.4990000000000006
2011,1,1,12,0,2.722,5.511
2011,1,1,12,5,2.749,5.527
2011,1,1,12,10,2.7920000000000003,5.551
2011,1,1,12,15,2.813,5.563
2011,1,1,12,20,2.774,5.542
2011,1,1,12,25,2.7680000000000002,5.539
2011,1,1,12,30,2.707,5.505
2011,1,1,12,35,2.587,5.438
2011,1,1,12,40,2.483,5.38
2011,1,1,12,45,2.444,5.359
2011,1,1,12,50,2.368,5.316
2011,1,1,12,55,2.247,5.249
2011,1,1,13,0,2.16,5.2
2011,1,1,13,5,2.083,5.139
2011,1,1,13,10,2.025,5.093
2011,1,1,13,15,2.013,5.0840000000000005
2011,1,1,13,20,1.985,5.063
2011,1,1,13,25,1.942,5.029
2011,1,1,13,30,1.8960000000000001,4.992
2011,1,1,13,35,1.891,4.989
2011,1,1,13,40,1.933,5.023
2011,1,1,13,45,1.96,5.0440000000000005
2011,1,1,13,50,1.967,5.05
2011,1,1,13,55,1.967,5.05
2011,1,1,14,0,1.939,5.029
2011,1,1,14,5,1.874,4.977
2011,1,1,14,10,1.808,4.925
2011,1,1,14,15,1.7650000000000001,4.892
2011,1,1,14,20,1.73,4.864
2011,1,1,14,25,1.6340000000000001,4.788
2011,1,1,14,30,1.537,4.712
2011,1,1,14,35,1.502,4.684
2011,1,1,14,40,1.5250000000000001,4.703
2011,1,1,14,45,1.5330000000000001,4.7090000000000005
2011,1,1,14,50,1.556,4.727
2011,1,1,14,55,1.555,4.727
2011,1,1,15,0,1.467,4.657
2011,1,1,15,5,1.359,4.571
2011,1,1,15,10,1.297,4.522
2011,1,1,15,15,1.274,4.5040000000000004
2011,1,1,15,20,1.2590000000000001,4.492
2011,1,1,15,25,1.201,4.446
2011,1,1,15,30,1.151,4.407
2011,1,1,15,35,1.067,4.339
2011,1,1,15,40,0.936,4.236
2011,1,1,15,45,0.798,4.098
2011,1,1,15,50,0.754,4.037
2011,1,1,15,55,0.776,4.0680000000000005
2011,1,1,16,0,0.8210000000000001,4.1290000000000004
2011,1,1,16,5,0.845,4.162
2011,1,1,16,10,0.846,4.162
2011,1,1,16,15,0.801,4.101
2011,1,1,16,20,0.7010000000000001,3.964
2011,1,1,16,25,0.643,3.8850000000000002
2011,1,1,16,30,0.652,3.8970000000000002
2011,1,1,16,35,0.797,4.095
2011,1,1,16,40,1.0230000000000001,4.303
2011,1,1,16,45,1.254,4.486
2011,1,1,16,50,1.485,4.6690000000000005
2011,1,1,16,55,1.689,4.831
2011,1,1,17,0,1.828,4.941
2011,1,1,17,5,1.909,5.005
2011,1,1,17,10,1.94,5.029
2011,1,1,17,15,1.925,5.017
2011,1,1,17,20,1.867,4.971
2011,1,1,17,25,1.7710000000000001,4.8950000000000005
2011,1,1,17,30,1.6480000000000001,4.797
