SiteID,1342021,Site Timezone,-6,Data Timezone,0,Longitude,-95.1383056641,Latitude,35.0348892212
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s)
2011,1,1,0,0,9.11
2011,1,1,0,5,9.23
2011,1,1,0,10,9.43
2011,1,1,0,15,9.620000000000001
2011,1,1,0,20,9.68
2011,1,1,0,25,9.71
2011,1,1,0,30,9.790000000000001
2011,1,1,0,35,9.73
2011,1,1,0,40,9.450000000000001
2011,1,1,0,45,9.11
2011,1,1,0,50,8.75
2011,1,1,0,55,8.45
2011,1,1,1,0,8.35
2011,1,1,1,5,8.55
2011,1,1,1,10,9.02
2011,1,1,1,15,9.25
2011,1,1,1,20,9.07
2011,1,1,1,25,8.92
2011,1,1,1,30,9.24
2011,1,1,1,35,9.74
2011,1,1,1,40,9.84
2011,1,1,1,45,10.05
2011,1,1,1,50,10.24
2011,1,1,1,55,10.06
2011,1,1,2,0,9.56
2011,1,1,2,5,9.66
2011,1,1,2,10,10.18
2011,1,1,2,15,10.13
2011,1,1,2,20,9.88
2011,1,1,2,25,9.39
2011,1,1,2,30,9.25
2011,1,1,2,35,9.540000000000001
2011,1,1,2,40,9.31
2011,1,1,2,45,9.16
2011,1,1,2,50,9.67
2011,1,1,2,55,10.14
2011,1,1,3,0,10.41
2011,1,1,3,5,10.42
2011,1,1,3,10,10.200000000000001
2011,1,1,3,15,9.67
2011,1,1,3,20,9.120000000000001
2011,1,1,3,25,8.870000000000001
2011,1,1,3,30,8.71
2011,1,1,3,35,8.41
2011,1,1,3,40,8.52
2011,1,1,3,45,9.77
2011,1,1,3,50,10.93
2011,1,1,3,55,10.92
2011,1,1,4,0,11.27
2011,1,1,4,5,10.450000000000001
2011,1,1,4,10,10.790000000000001
2011,1,1,4,15,11.57
2011,1,1,4,20,11.46
2011,1,1,4,25,10.790000000000001
2011,1,1,4,30,10.16
2011,1,1,4,35,9.39
2011,1,1,4,40,8.52
2011,1,1,4,45,7.9
2011,1,1,4,50,7.79
2011,1,1,4,55,8.03
2011,1,1,5,0,8.38
2011,1,1,5,5,8.6
2011,1,1,5,10,8.65
2011,1,1,5,15,8.56
2011,1,1,5,20,8.4
2011,1,1,5,25,8.23
2011,1,1,5,30,8.11
2011,1,1,5,35,8.05
2011,1,1,5,40,8.08
2011,1,1,5,45,8.21
2011,1,1,5,50,8.3
2011,1,1,5,55,8.4
2011,1,1,6,0,8.32
2011,1,1,6,5,7.98
2011,1,1,6,10,7.43
2011,1,1,6,15,6.92
2011,1,1,6,20,6.68
2011,1,1,6,25,6.69
2011,1,1,6,30,6.74
