SiteID,15991,Site Timezone,-6,Data Timezone,-6,Longitude,-95.386383,Latitude,34.835228
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),,,,
2011,1,1,0,0,11.261,,,,
2011,1,1,0,5,11.301,,,,
2011,1,1,0,10,11.194,,,,
2011,1,1,0,15,11.096,,,,
2011,1,1,0,20,11.007,,,,
2011,1,1,0,25,10.928,,,,
2011,1,1,0,30,10.852,,,,
2011,1,1,0,35,10.76,,,,
2011,1,1,0,40,10.593,,,,
2011,1,1,0,45,10.352,,,,
2011,1,1,0,50,10.013,,,,
2011,1,1,0,55,9.558,,,,
2011,1,1,1,0,8.939,,,,
2011,1,1,1,5,8.347,,,,
2011,1,1,1,10,8.081,,,,
2011,1,1,1,15,8.075,,,,
2011,1,1,1,20,8.261,,,,
2011,1,1,1,25,8.524,,,,
2011,1,1,1,30,8.802,,,,
2011,1,1,1,35,9.027,,,,
2011,1,1,1,40,9.25,,,,
2011,1,1,1,45,9.466,,,,
2011,1,1,1,50,9.534,,,,
2011,1,1,1,55,9.442,,,,
2011,1,1,2,0,9.283,,,,
2011,1,1,2,5,9.118,,,,
2011,1,1,2,10,8.957,,,,
2011,1,1,2,15,8.874,,,,
2011,1,1,2,20,8.929,,,,
2011,1,1,2,25,9.07,,,,
2011,1,1,2,30,9.247,,,,
2011,1,1,2,35,9.363,,,,
2011,1,1,2,40,9.466,,,,
2011,1,1,2,45,9.469,,,,
2011,1,1,2,50,9.25,,,,
2011,1,1,2,55,9.298,,,,
2011,1,1,3,0,9.268,,,,
2011,1,1,3,5,8.947,,,,
2011,1,1,3,10,8.386,,,,
2011,1,1,3,15,7.928,,,,
2011,1,1,3,20,8.035,,,,
2011,1,1,3,25,8.411,,,,
2011,1,1,3,30,8.642,,,,
2011,1,1,3,35,8.56,,,,
2011,1,1,3,40,8.34,,,,
2011,1,1,3,45,8.288,,,,
2011,1,1,3,50,8.31,,,,
2011,1,1,3,55,8.459,,,,
2011,1,1,4,0,8.685,,,,
2011,1,1,4,5,8.813,,,,
2011,1,1,4,10,8.932,,,,
2011,1,1,4,15,8.951,,,,
2011,1,1,4,20,8.944,,,,
2011,1,1,4,25,8.822,,,,
2011,1,1,4,30,8.676,,,,
2011,1,1,4,35,8.612,,,,
2011,1,1,4,40,8.447,,,,
2011,1,1,4,45,8.334,,,,
2011,1,1,4,50,8.224,,,,
2011,1,1,4,55,8.105,,,,
2011,1,1,5,0,7.931,,,,
2011,1,1,5,5,7.785,,,,
2011,1,1,5,10,7.62,,,,
2011,1,1,5,15,7.525,,,,
2011,1,1,5,20,7.443,,,,
2011,1,1,5,25,7.397,,,,
2011,1,1,5,30,7.397,,,,
2011,1,1,5,35,7.391,,,,
2011,1,1,5,40,7.385,,,,
2011,1,1,5,45,7.391,,,,
2011,1,1,5,50,7.397,,,,
2011,1,1,5,55,7.4,,,,
2011,1,1,6,0,7.403,,,,
2011,1,1,6,5,7.403,,,,
2011,1,1,6,10,7.415,,,,
2011,1,1,6,15,7.452,,,,
2011,1,1,6,20,7.449,,,,
2011,1,1,6,25,7.388,,,,
2011,1,1,6,30,7.345,,,,
2011,1,1,6,35,7.303,,,,
2011,1,1,6,40,7.336,,,,
2011,1,1,6,45,7.382,,,,
2011,1,1,6,50,7.419,,,,
2011,1,1,6,55,7.358,,,,
2011,1,1,7,0,7.297,,,,
2011,1,1,7,5,7.272,,,,
2011,1,1,7,10,7.181,,,,
2011,1,1,7,15,7.138,,,,
2011,1,1,7,20,7.336,,,,
2011,1,1,7,25,7.696,,,,
2011,1,1,7,30,8.132,,,,
2011,1,1,7,35,8.572,,,,
2011,1,1,7,40,8.883,,,,
2011,1,1,7,45,9.008,,,,
2011,1,1,7,50,8.847,,,,
2011,1,1,7,55,8.563,,,,
2011,1,1,8,0,8.23,,,,
2011,1,1,8,5,7.837,,,,
2011,1,1,8,10,7.58,,,,
2011,1,1,8,15,7.449,,,,
2011,1,1,8,20,7.55,,,,
2011,1,1,8,25,7.574,,,,
2011,1,1,8,30,7.571,,,,
2011,1,1,8,35,7.675,,,,
2011,1,1,8,40,7.769,,,,
2011,1,1,8,45,7.815,,,,
2011,1,1,8,50,7.809,,,,
2011,1,1,8,55,7.751,,,,
2011,1,1,9,0,7.66,,,,
2011,1,1,9,5,7.562,,,,
2011,1,1,9,10,7.519,,,,
2011,1,1,9,15,7.537,,,,
2011,1,1,9,20,7.501,,,,
2011,1,1,9,25,7.336,,,,
2011,1,1,9,30,7.098,,,,
2011,1,1,9,35,6.891,,,,
2011,1,1,9,40,6.759,,,,
2011,1,1,9,45,6.714,,,,
2011,1,1,9,50,6.695,,,,
2011,1,1,9,55,6.668,,,,
2011,1,1,10,0,6.604,,,,
2011,1,1,10,5,6.512,,,,
2011,1,1,10,10,6.479,,,,
2011,1,1,10,15,6.509,,,,
2011,1,1,10,20,6.552,,,,
2011,1,1,10,25,6.558,,,,
2011,1,1,10,30,6.518,,,,
2011,1,1,10,35,6.482,,,,
2011,1,1,10,40,6.433,,,,
2011,1,1,10,45,6.357,,,,
2011,1,1,10,50,6.21,,,,
2011,1,1,10,55,6.088,,,,
2011,1,1,11,0,6.07,,,,
2011,1,1,11,5,6.14,,,,
2011,1,1,11,10,6.247,,,,
2011,1,1,11,15,6.317,,,,
2011,1,1,11,20,6.347,,,,
2011,1,1,11,25,6.372,,,,
2011,1,1,11,30,6.372,,,,
2011,1,1,11,35,6.344,,,,
2011,1,1,11,40,6.356,,,,
2011,1,1,11,45,6.381,,,,
2011,1,1,11,50,6.366,,,,
2011,1,1,11,55,6.299,,,,
2011,1,1,12,0,6.244,,,,
2011,1,1,12,5,6.21,,,,
2011,1,1,12,10,6.183,,,,
2011,1,1,12,15,6.182,,,,
2011,1,1,12,20,6.216,,,,
2011,1,1,12,25,6.219,,,,
2011,1,1,12,30,6.176,,,,
2011,1,1,12,35,6.088,,,,
2011,1,1,12,40,6.027,,,,
2011,1,1,12,45,5.999,,,,
2011,1,1,12,50,5.929,,,,
2011,1,1,12,55,5.825,,,,
2011,1,1,13,0,5.746,,,,
2011,1,1,13,5,5.661,,,,
2011,1,1,13,10,5.587,,,,
2011,1,1,13,15,5.578,,,,
2011,1,1,13,20,5.597,,,,
2011,1,1,13,25,5.593,,,,
2011,1,1,13,30,5.532,,,,
2011,1,1,13,35,5.401,,,,
2011,1,1,13,40,5.258,,,,
2011,1,1,13,45,5.154,,,,
2011,1,1,13,50,5.087,,,,
2011,1,1,13,55,5.038,,,,
2011,1,1,14,0,5.02,,,,
2011,1,1,14,5,5.062,,,,
2011,1,1,14,10,5.108,,,,
2011,1,1,14,15,5.096,,,,
2011,1,1,14,20,5.063,,,,
2011,1,1,14,25,5.059,,,,
2011,1,1,14,30,5.047,,,,
2011,1,1,14,35,5.044,,,,
2011,1,1,14,40,5.05,,,,
2011,1,1,14,45,4.998,,,,
2011,1,1,14,50,4.916,,,,
2011,1,1,14,55,4.834,,,,
2011,1,1,15,0,4.757,,,,
2011,1,1,15,5,4.73,,,,
2011,1,1,15,10,4.69,,,,
2011,1,1,15,15,4.605,,,,
2011,1,1,15,20,4.513,,,,
2011,1,1,15,25,4.44,,,,
2011,1,1,15,30,4.403,,,,
2011,1,1,15,35,4.376,,,,
2011,1,1,15,40,4.309,,,,
2011,1,1,15,45,4.19,,,,
2011,1,1,15,50,4.074,,,,
2011,1,1,15,55,3.997,,,,
2011,1,1,16,0,3.991,,,,
2011,1,1,16,5,4.062,,,,
2011,1,1,16,10,4.159,,,,
2011,1,1,16,15,4.217,,,,
2011,1,1,16,20,4.159,,,,
2011,1,1,16,25,4.071,,,,
2011,1,1,16,30,4.007,,,,
2011,1,1,16,35,4.077,,,,
2011,1,1,16,40,4.211,,,,
2011,1,1,16,45,4.394,,,,
2011,1,1,16,50,4.586,,,,
2011,1,1,16,55,4.739,,,,
2011,1,1,17,0,4.818,,,,
2011,1,1,17,5,4.873,,,,
2011,1,1,17,10,4.925,,,,
2011,1,1,17,15,4.94,,,,
2011,1,1,17,20,4.943,,,,
2011,1,1,17,25,4.949,,,,
2011,1,1,17,30,4.986,,,,
2011,1,1,17,35,5.011,,,,
2011,1,1,17,40,5.001,,,,
2011,1,1,17,45,5.029,,,,
2011,1,1,17,50,5.105,,,,
2011,1,1,17,55,5.197,,,,
2011,1,1,18,0,5.31,,,,
2011,1,1,18,5,5.395,,,,
2011,1,1,18,10,5.45,,,,
2011,1,1,18,15,5.459,,,,
2011,1,1,18,20,5.392,,,,
2011,1,1,18,25,5.285,,,,
2011,1,1,18,30,5.215,,,,
2011,1,1,18,35,5.185,,,,
2011,1,1,18,40,5.172,,,,
2011,1,1,18,45,5.197,,,,
2011,1,1,18,50,5.249,,,,
2011,1,1,18,55,5.316,,,,
2011,1,1,19,0,5.404,,,,
2011,1,1,19,5,5.511,,,,
2011,1,1,19,10,5.624,,,,
2011,1,1,19,15,5.709,,,,
2011,1,1,19,20,5.709,,,,
2011,1,1,19,25,5.685,,,,
2011,1,1,19,30,5.676,,,,
2011,1,1,19,35,5.673,,,,
2011,1,1,19,40,5.67,,,,
2011,1,1,19,45,5.615,,,,
2011,1,1,19,50,5.526,,,,
2011,1,1,19,55,5.493,,,,
2011,1,1,20,0,5.532,,,,
2011,1,1,20,5,5.563,,,,
2011,1,1,20,10,5.581,,,,
