Objective,gen1,gen4,gen6,bus1
-274760,91.8587,13.5255,10.1661,2.68894
-274455,91.9468,13.1631,10.1359,2.6896
-274213,92.018,12.896,10.0897,2.69013
-274172,92.0188,12.6549,10.2894,2.69014
-274158,92.021,12.6014,10.3261,2.69016
-274019,92.0651,12.507,10.2378,2.69049
-279147,90.4868,16.9351,12.5146,2.67865
-279527,90.3546,16.9914,12.9698,2.67766
-279670,90.302,16.9624,13.1941,2.67726
-279281,90.4277,16.7318,12.9101,2.67821
-278856,90.5713,16.5919,12.4819,2.67928
-278917,90.561,16.7934,12.3516,2.67921
-278903,90.576,16.9721,12.1442,2.67932
-278613,90.6809,16.9978,11.7236,2.68011
-275218,91.757,14.6124,9.63874,2.68818
-274875,91.8382,13.8899,9.93752,2.68879
-274296,92.0077,13.2367,9.8422,2.69006
-274980,91.8197,14.2214,9.72887,2.68865
-274887,91.8516,14.2022,9.62408,2.68889
-274987,91.8132,14.1523,9.81197,2.6886
-275146,91.7577,14.1712,10.007,2.68818
-274907,91.8386,14.0965,9.76243,2.68879
-274571,91.9364,13.7069,9.71819,2.68952
-274715,91.8812,13.6408,9.98343,2.68911
-275166,91.7546,14.2455,9.95616,2.68816
-273603,92.2505,13.1608,8.98292,2.69188
-273675,92.2416,13.4551,8.7696,2.69181
-273548,92.2827,13.3765,8.67919,2.69212
-273262,92.3711,13.1364,8.5451,2.69278
-272988,92.4597,12.9756,8.34354,2.69345
-272786,92.5189,12.7513,8.30689,2.69389
-272706,92.5282,12.4104,8.55836,2.69396
-272725,92.5032,12.0899,8.92296,2.69377
-275936,91.574,15.9016,9.25045,2.6868
-275526,91.6952,15.4592,9.16158,2.68771
-275396,91.7315,15.2809,9.17331,2.68799
-275296,91.7687,15.3061,9.011,2.68826
-275104,91.828,15.1466,8.91942,2.68871
-274933,91.8579,14.602,9.26381,2.68893
-274539,91.967,14.0417,9.32024,2.68975
-274066,92.1244,13.8435,8.88835,2.69093
-273658,92.2654,13.7662,8.4174,2.69199
-273451,92.336,13.7089,8.19702,2.69252
-271133,92.9724,10.3548,8.5981,2.69729
-271088,92.9817,10.2321,8.66595,2.69736
-270935,93.0277,10.084,8.61558,2.69771
-270674,93.1099,9.88945,8.46659,2.69832
-274285,92.0241,13.456,9.59555,2.69018
-274377,91.9813,13.2777,9.90821,2.68986
-274593,91.9048,13.2877,10.1905,2.68929
-274594,91.9008,13.2229,10.2604,2.68926
